Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
253,25.2005,4.179687583,2.621222642,3.649903769
254,25.3005,4.282015534,5.406062174,3.238955651
255,25.4005,4.301302569,4.494256712,4.174829346
256,25.5005,4.492815459,3.910354317,2.693281311
257,25.6005,4.055385037,3.349091308,2.830867153
258,25.7005,4.76739525,3.212884915,2.951527807
259,25.8005,4.564912036,3.398569983,2.906415231
260,25.9005,4.748516588,3.449400218,3.156901282
261,26.0005,4.434334385,3.709853936,2.722272394
262,26.1005,4.248208733,3.334416205,2.961299306
263,26.2005,4.380309677,3.186288875,2.752740609
264,26.3005,4.595754759,3.481555051,2.598324891
265,26.4005,4.380083092,3.150596786,3.141794194
266,26.5005,4.628007327,3.343633085,3.269078807
267,26.6005,4.245378833,4.907221804,2.703788105
268,26.7005,4.033261651,5.391551899,2.809666899
269,26.8005,5.058071565,4.556928503,4.011332081
270,26.9005,4.315604354,4.407358822,3.116392591
271,27.0005,3.822279959,4.623955078,3.508226146
272,27.1005,4.193201874,4.903898311,3.044455761
273,27.2005,4.723969298,4.726655826,3.763426191
274,27.3005,4.960294992,4.400516748,3.030452074
275,27.4005,4.210884564,4.504906485,3.431831604
276,27.5006,4.536013006,4.14815091,2.697510449
277,27.6006,4.576904128,3.622749028,3.163594023
278,27.7006,3.625114886,3.626870928,2.943069815
279,27.8006,4.391882505,4.066301464,3.193439566
280,27.9006,3.902171402,3.657956529,3.022586066
281,28.0006,3.861742632,3.704348955,3.08790127
282,28.1006,5.101658515,3.442095997,2.969243321
283,28.2006,4.145397478,3.109897724,4.638860632
284,28.3006,5.310097125,3.814290128,3.470877273
285,28.4006,5.199377183,3.539422865,2.852061328
286,28.5006,4.593976577,3.765800885,2.771518116
287,28.6006,4.613636359,3.30357052,2.842783441
288,28.7006,4.339039503,4.891019013,2.664200854
289,28.8006,4.294240398,4.102800293,2.662679433
290,28.9006,3.707336285,4.380871378,3.207432936
291,29.0006,3.882734021,4.477023288,3.121236276
292,29.1006,3.85243959,3.192581914,3.347073141
293,29.2006,4.423973567,3.6163586,5.068387721
